БЕ,Наименование дочернего Общества,Адрес склада,Дата поступления,Классы МТР,Наименование класса,Подклассы МТР,Наименование подкласса,КСМ (код материала),Наименование материала,БЕИ (единица измерения),Количество,Стоимость запасов,Цена запаса
1B66,"ПАО ""Уфаоргсинтез""","Уфа, Бирский тракт 2к5, Республика Башкортостан, Россия",24.04.2025,20,Подшипники,20-980400,Втулки к подшипникам,10015903,Втулка H310 SKF,Штука,11.000,"19,486.50",1 771.50
1B66,"ПАО ""Уфаоргсинтез""","Уфа, Бирский тракт 2к5, Республика Башкортостан, Россия",02.12.2015,20,Подшипники,20-980400,Втулки к подшипникам,2312641,Втулка В28 УХЛ3,Штука,53.000,"88,932.94",1 677.98
1B66,"ПАО ""Уфаоргсинтез""","Уфа, Бирский тракт 2к5, Республика Башкортостан, Россия",22.09.2022,20,Подшипники,20-980400,Втулки к подшипникам,2312641,Втулка В28 УХЛ3,Штука,12.000,"31,860.84",2 655.07
1B66,"ПАО ""Уфаоргсинтез""","Уфа, Бирский тракт 2к5, Республика Башкортостан, Россия",06.08.2015,20,Подшипники,20-980400,Втулки к подшипникам,2312640,Втулка В22 УХЛ1,Штука,283.000,"464,666.19",1 641.93
1B66,"ПАО ""Уфаоргсинтез""","Уфа, Бирский тракт 2к5, Республика Башкортостан, Россия",13.11.2017,20,Подшипники,20-980400,Втулки к подшипникам,10537440,Втулка H2319 EBC,Штука,1.000,"2,758.67",2 758.67
1B66,"ПАО ""Уфаоргсинтез""","Уфа, Бирский тракт 2к5, Республика Башкортостан, Россия",23.08.2017,20,Подшипники,20-980400,Втулки к подшипникам,2312642,Втулка В22 УХЛ3,Штука,362.000,"641,138.20",1 771.10
1329,"АО ""Куйбышевский НПЗ""","Самара, улица Грозненская 25, Самарская область, Россия",06.11.2018,11,Продукция кабельная,11-050800,Провода и кабели установочные,1119879,"Кабель ТПВБбГ 7х8х1,6",м,150.000,"1,179,801.00",7 865.34
1329,"АО ""Куйбышевский НПЗ""","Самара, улица Грозненская 25, Самарская область, Россия",22.08.2024,11,Продукция кабельная,11-050800,Провода и кабели установочные,1119879,"Кабель ТПВБбГ 7х8х1,6",м,200.000,"1,586,912.00",7 934.56
1344,НовокуйбЗаводМаселИПрис,"Самара, Производственная улица 2 , Самарская область, Россия",27.07.2022,11,Продукция кабельная,11-050800,Провода и кабели установочные,1099210,"Кабель ТПВБбГ 7х8х1,0",м,480.000,"2,788,430.40",5 809.23
1344,НовокуйбЗаводМаселИПрис,"Самара, Производственная улица 2 , Самарская область, Россия",15.04.2020,11,Продукция кабельная,11-050800,Провода и кабели установочные,1119879,"Кабель ТПВБбГ 7х8х1,6",м,390.000,"2,864,631.90",7 345.21
1A63,"АО ""ННК""","Новокуйбышевск, ул. Промышленная, Самарская область, Россия",30.08.2022,11,Продукция кабельная,11-050800,Провода и кабели установочные,1119879,"Кабель ТПВБбГ 7х8х1,6",м,800.000,"5,530,048.00",6 912.56
1B54,"ПАО АНК ""Башнефть""","Уфа, улица Ульяновых, Республика Башкортостан, Россия",19.03.2018,11,Продукция кабельная,11-050800,Провода и кабели установочные,1119879,"Кабель ТПВБбГ 7х8х1,6",м,2 000.000,"15,805,340.00",7 902.67
1B66,"ПАО ""Уфаоргсинтез""","Уфа, Бирский тракт 2к5, Республика Башкортостан, Россия",15.05.2025,11,Продукция кабельная,11-050800,Провода и кабели установочные,1119879,"Кабель ТПВБбГ 7х8х1,6",м,2 000.000,"13,712,900.00",6 856.45
1B11,"ООО ИК ""СИБИНТЕК""","Нефтеюганск, Ханты-Мансийский автономный округ, Россия",26.03.2018,11,Продукция кабельная,11-050800,Провода и кабели установочные,1340770,Кабель Phoenix FL CAT5 FLEX 2744830,м,87.000,"820,590.09",9 432.07
